1752239|21-02-1986|1990110886625|19590722|7839|||0000|T|SE|737201|+45012756728|sample547@email.com|1
1508236|28-07-1978|1990110886265|20990808|4177|||0000|T|IE|493198|+45146891085|sample342@email.com|0
1407158|16-12-1948|1990110886234|20311102|9180|||0000|N|CH|392120|+45831642438|sample210@email.com|1
1306266|06-06-1970|1990110886518|20130512|8589|||0000|T|EU|291228|+45204690597|sample854@email.com|0
1240597|11-06-1915|1990110886408|20381217|6085|||0000|T|SE|225559|+45681697602|sample909@email.com|1
1845829|29-05-1901|1990110886307|20971024|0143|||0000|T|EU|830791|+45245593975|sample532@email.com|0
1668790|30-07-1915|1990110886335|19990212||||0000|T|US|653752|+45123850582|sample739@email.com|0
1946283|01-08-1924|1990110886416|20050320||||0000|T|EU|931245|+45428752052|sample080@email.com|1
1169990|15-03-1908|1990110886479|20250504||||0000|N|IE|154952|+45458164189|sample736@email.com|0
1721855|30-09-1974|1990110886295|19630304||||0000|N|US|706817|+45012608592|sample172@email.com|0
1224553|05-08-1969|1990110886355|20750604||||0000|T|SE|209515|+45197110738|sample722@email.com|1
1639298|13-12-1928|1990110886385|20410211||||0000|T|PL|624260|+45870764175|sample738@email.com|1
1528884|13-11-1927|1990110886358|20510410||||0000|N|DE|513846|+45916851949|sample470@email.com|0
1139059|21-02-1936|1990110886318|19500522||||0000|N|DE|124021|+45981507655|sample704@email.com|1
1602083|17-01-1973|1990110886521|19610102||||0000|N|CH|587045|+45721169750|sample357@email.com|0
1175872|02-01-1979|1990110886468|19370816||||0000|N|CH|160834|+45265697438|sample657@email.com|1
1333016|10-04-1936|1990110886236|19441002|6712|||0000|T|EU|317978|+45364716018|sample558@email.com|1
1647093|21-04-1941|1990110886339|20981021|3180|||0000|T|AT|632055|+45124880598|sample007@email.com|1
1536219|12-04-1910|1990110886274|19360327|5486|||0000|N|PL|521181|+45705951418|sample554@email.com|1
1208164|09-08-1947|1990110886249|20730621|3726|||0000|N|PL|193126|+45659734817|sample666@email.com|1
1620779|20-12-1932|1990110886406|19280122|4068|||0000|T|FI|605741|+45874430836|sample445@email.com|0
1439210|09-02-1921|1990110886489|20240306|2843|||0000|N|AT|424172|+45414303490|sample553@email.com|1
2006712|14-09-1906|1990110886270|20960709|7779|1127||0000|T|IT|991674|+45764955089|sample112@email.com|1
1796387|12-01-1963|1990110886303|20640629|7391|0719||0000|T|IE|781349|+45286055122|sample770@email.com|1
1129962|19-10-1902|1990110886382|19380504|5062|8247||0000|N|IT|114924|+45989389942|sample084@email.com|1
1326356|16-10-1923|1990110886521|19521108|3619|3776||0000|T|PL|311318|+45949636085|sample922@email.com|0
1648153|20-05-1982|1990110886345|19880715|1700|3120||0000|N|EU|633115|+45167328510|sample223@email.com|0
1692960|16-10-1901|1990110886245|20280310|5202|0730||0000|T|IE|677922|+45746738582|sample666@email.com|1
1174933|23-06-1917|1990110886233|19810116|5784|||0000|T|DE|159895|+45928282730|sample147@email.com|0
1934875|01-09-1936|1990110886586|20771105|2785|||0000|N|CH|919837|+45428548894|sample907@email.com|0
